Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test level),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Text Steps),Custom field (Text Steps),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
IPF14 - Verify Withdrawal - Check  if source account does not have the necessary balance,BK02-136,10174,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,17/Dec/22 3:25 PM,17/Dec/22 4:29 PM,03/Jan/23 4:59 PM,,,0,Withdraw,"If source account does not have the necessary balance, system displays an error",,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK02-13,,,,,,,,,0|i000vi:,,BK02 Sprint 2,,,,,,,,,Intergartion,,Skip,,,,,To Do
IPF13 - Verify Withdrawal - Check if source account number is invalid,BK02-135,10173,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,17/Dec/22 3:16 PM,24/Dec/22 10:27 PM,03/Jan/23 4:59 PM,,,0,Withdraw,"If source account number is invalid, system displays an error",,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connection Error,,,,,,,,,,BK02-13,,,,,,,,,0|i000va:,,BK02 Sprint 2,,,,,,,,,Intergartion,,Skip,,,,,To Do
IPF37 - Verify Change Password -Check  Old Password is invalid.,BK02-134,10172,Story,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,17/Dec/22 3:08 PM,24/Dec/22 6:38 PM,03/Jan/23 4:59 PM,,,0,ChangePassword,"If Old Password is invalid, System shows an error.",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,BK02-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK02-5,,,,,,,,,0|i00132:,,BK02 Sprint 2,,,,,,,,,Intergartion,,Skip,,,,,In Progress
MSP94 -Verify Account No must not be blank,BK02-133,10171,Bug,Resolved,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 6:12 PM,13/Dec/22 4:28 PM,03/Jan/23 4:59 PM,13/Dec/22 4:25 PM,,0,MiniStatementPage,h1. Special character are not allowed,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,09/Dec/22 6:56 PM;62a15e599b728c006a94a6ee;mini-111.jpg;https://dolongvu.atlassian.net/secure/attachment/10059/mini-111.jpg,09/Dec/22 6:12 PM;62a15e599b728c006a94a6ee;mini2'.jpg;https://dolongvu.atlassian.net/secure/attachment/10054/mini2%27.jpg,,,,"Not have notification message “Account Number must not be blank*mandatory field""",,,,,,,,,,BK02-3,,,,"no notification""Account Number must not be blank
*mandatory field""	 ",,,,,0|i000sg:,,BK02 Sprint 1,,,,,,,,,Unit,,Fail,,"Step 1: Enter Account*

Step 2: Click Submit and Wait notification",,,Done
Withdrawal,BK02-13,10167,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:35 AM,24/Dec/22 9:51 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,BK02-94,BK02-75,BK02-87,BK02-61,BK02-42,BK02-34,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Withdrawal,To Do,,,,purple,,,0|i000q7:,,,,,,,,,,,,,,,,,,To Do
Deposit,BK02-12,10166,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:35 AM,24/Dec/22 10:02 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Deposit,To Do,,,,purple,,,0|i000pz:,,,,,,,,,,,,,,,,,,To Do
Delete Customer,BK02-11,10165,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:35 AM,24/Dec/22 6:47 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Delete Customer,To Do,,,,purple,,,0|i000pr:,,,,,,,,,,,,,,,,,,To Do
Delete Account,BK02-10,10164,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:35 AM,24/Dec/22 7:33 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Delete Account,To Do,,,,purple,,,0|i000pj:,,,,,,,,,,,,,,,,,,To Do
Edit Account,BK02-9,10163,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:35 AM,17/Dec/22 6:57 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Edit Account,To Do,,,,purple,,,0|i000pb:,,,,,,,,,,,,,,,,,,To Do
New Account,BK02-8,10162,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:35 AM,24/Dec/22 9:59 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,New Account,To Do,,,,purple,,,0|i000p3:,,,,,,,,,,,,,,,,,,To Do
Edit Customer,BK02-7,10161,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:35 AM,17/Dec/22 7:03 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Edit Customer,To Do,,,,purple,,,0|i000ov:,,,,,,,,,,,,,,,,,,To Do
New Customer,BK02-6,10160,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:35 AM,24/Dec/22 10:40 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,New Customer,To Do,,,,purple,,,0|i000on:,,,,,,,,,,,,,,,,,,To Do
Change Password,BK02-5,10159,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:35 AM,24/Dec/22 6:38 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,BK02-129,BK02-116,BK02-105,BK02-104,BK02-103,BK02-99,BK02-95,BK02-134,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Change Password,To Do,,,,purple,,,0|i000of:,,,,,,,,,,,,,,,,,,To Do
Customized Statement,BK02-4,10158,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:34 AM,24/Dec/22 6:31 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Customized Statement,To Do,,,,purple,,,0|i000o7:,,,,,,,,,,,,,,,,,,To Do
Mini Statement,BK02-3,10157,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:34 AM,24/Dec/22 6:59 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Mini Statement,To Do,,,,purple,,,0|i000nz:,,,,,,,,,,,,,,,,,,To Do
Fund Transfer,BK02-2,10156,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:34 AM,24/Dec/22 8:00 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,BK02-124,BK02-123,BK02-122,BK02-121,BK02-120,BK02-119,BK02-118,BK02-115,BK02-114,BK02-17,,,,,,,,,,,,,,,,,,,ghx-label-7,,Fund Transfer,To Do,,,,purple,,,0|i000nr:,,,,,,,,,,,,,,,,,,To Do
Balance Enquiry,BK02-1,10155,Epic,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,09/Dec/22 9:34 AM,24/Dec/22 6:59 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Balance Enquiry,To Do,,,,purple,,,0|i000nj:,,,,,,,,,,,,,,,,,,To Do
EA57 - Verify Edit Account - Characters are not allowed,BK02-44,10154,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 8:01 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,09/Dec/22 9:12 PM,,0,EditAccount,Characters are not allowed,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massage notification:""Characters are not allowed""",,,,,,,,,,BK02-9,,,,"Message show:""Special character are not allowed""",,,,,0|i000m3:,,BK02 Sprint 1,,,,,,,,,Unit,,,,"1.Enter special characters
2.Wait notification",,,Done
EA56 - Verify Edit Account - Special character are not allowed,BK02-55,10153,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 8:01 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,09/Dec/22 9:14 PM,,0,EditAccount,Special character are not allowed,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,09/Dec/22 9:14 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20221209-141440.png;https://dolongvu.atlassian.net/secure/attachment/10072/image-20221209-141440.png,,,,,"Message notification:""Special character are not allowed""",,,,,,,,,,BK02-9,,,,"Message show:""Special character are not allowed""",,,,,0|i000hj:4,,BK02 Sprint 1,,,,,,,,,Unit,,,,"1.Enter special characters
2.Wait notification",,,Done
EA55 - Verify Edit Account - Account No must not be blank,BK02-53,10152,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 8:00 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,09/Dec/22 9:10 PM,,0,EditAccount,Account No must not be blank,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,09/Dec/22 9:09 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20221209-140958.png;https://dolongvu.atlassian.net/secure/attachment/10071/image-20221209-140958.png,,,,,"Massage notification:""Account No must not be blank""",,,,,,,,,,BK02-9,,,,"Message show:""Account No must not be blank""",,,,,0|i000hj:2,,BK02 Sprint 1,,,,,,,,,Unit,,,,"1.Leave the account number blank
2.Wait notification",,,Done
D54 - Verify Deposit - Description must not be blank,BK02-52,10151,Story,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:59 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,,,0,Deposit,Description must not be blank,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK02-12,,,,,,,,,0|i000lv:,,BK02 Sprint 1,,,,,,,,,Unit,,,,,,,In Progress
D53 - Verify Deposit - Characters are not allowed,BK02-49,10150,Story,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:59 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,,,0,Deposit,Characters are not allowed,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK02-12,,,,,,,,,0|i000mf:,,BK02 Sprint 1,,,,,,,,,Unit,,,,,,,In Progress
D52 - Verify Deposit - Special characters are not allowed,BK02-47,10149,Story,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:59 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,,,0,Deposit,Special characters are not allowed,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK02-12,,,,,,,,,0|i000lt:,,BK02 Sprint 1,,,,,,,,,Unit,,,,,,,In Progress
D51 - Verify Deposit - Amount field must not be blank,BK02-45,10148,Story,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:58 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,,,0,Deposit,Amount field must not be blank,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK02-12,,,,,,,,,0|i000lz:,,BK02 Sprint 1,,,,,,,,,Unit,,,,,,,In Progress
D50 - Verify Deposit - Characters are not allowed,BK02-41,10147,Story,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:58 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,,,0,Deposit,Characters are not allowed,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK02-12,,,,,,,,,0|i000lr:,,BK02 Sprint 1,,,,,,,,,Unit,,,,,,,In Progress
D49 - Verify Deposit - Special character are not allowed,BK02-39,10146,Story,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:57 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,,,0,Deposit,Special character are not allowed,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK02-12,,,,,,,,,0|i000lj:,,BK02 Sprint 1,,,,,,,,,Unit,,,,,,,In Progress
D48 - Verify Deposit - Account No must not be blank,BK02-38,10145,Story,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:57 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,,,0,Deposit,Account No must not be blank,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK02-12,,,,,,,,,0|i000lb:,,BK02 Sprint 1,,,,,,,,,Unit,,,,,,,In Progress
DC47.1 - Verify Customer Id - First character cannot have space,BK02-37,10144,Bug,Resolved,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:56 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,14/Dec/22 5:32 PM,,0,DeleteCustomer,First character cannot have space,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,14/Dec/22 5:32 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20221214-103209.png;https://dolongvu.atlassian.net/secure/attachment/10093/image-20221214-103209.png,,,,,,,,,,,,,,,BK02-11,,,,"Message show:""First character cannot have space""",,,,,0|i000l3:,,BK02 Sprint 1,,,,,,,,,Unit,,Pass,,"1.Enter a space character
2.Wait notification",,,Done
DC47 - Verify Customer Id - Characters are not allowed,BK02-35,10143,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:55 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,09/Dec/22 9:01 PM,,0,DeleteCustomer,Characters are not allowed,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massage notification:""Characters are not allowe""",,,,,,,,,,BK02-11,,,,"Message show:""Space characters are not allowed""",,,,,0|i000kv:,,BK02 Sprint 1,,,,,,,,,Unit,,,,"1.Enter special characters
2.Wait notification",,,Done
DC46 - Verify Customer Id - Special character are not allowed,BK02-33,10142,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:55 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,09/Dec/22 8:55 PM,,0,DeleteCustomer,Special character are not allowed,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,09/Dec/22 8:55 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20221209-135552.png;https://dolongvu.atlassian.net/secure/attachment/10069/image-20221209-135552.png,,,,,"Message notification:""Special character are not allowed""",,,,,,,,,,BK02-11,,,,"Message show""Special character are not allowed""",,,,,0|i000jb:,,BK02 Sprint 1,,,,,,,,,Unit,,,,"1.Enter special characters
2.Wait notification",,,Done
DC45 - Verify Customer Id - Customer ID is required,BK02-32,10141,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:54 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,09/Dec/22 8:50 PM,,0,DeleteCustomer,Customer ID is required,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Message notification:""Customer ID is required""",,,,,,,,,,BK02-11,,,,"Message show:""2.Wait notification""",,,,,0|i000ij:,,BK02 Sprint 1,,,,,,,,,Unit,,,,"1.Empty customer ID
2.Wait notification",,,Done
DAF44 - Verify Delete Account Form - Characters are not allowed,BK02-31,10140,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:51 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,09/Dec/22 8:45 PM,,0,DeleteAccountForm,Characters are not allowed,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,09/Dec/22 8:44 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20221209-134412.png;https://dolongvu.atlassian.net/secure/attachment/10068/image-20221209-134412.png,,,,,"Massage notification:""Characters are not allowed""",,,,,,,,,,BK02-10,,,,"Massage show:""Space characters are not allowed""",,,,,0|i000q7:i,,BK02 Sprint 1,,,,,,,,,Unit,,,,"1.Enter a space character
2.Wait notification",,,Done
DAF43 - Verify Delete Account Form - Special character are not allowed,BK02-29,10139,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:50 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,09/Dec/22 8:45 PM,,0,DeleteAccountForm,Special character are not allowed,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,09/Dec/22 8:34 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20221209-133438.png;https://dolongvu.atlassian.net/secure/attachment/10067/image-20221209-133438.png,,,,,"Message notification:""Special character are not allowed""",,,,,,,,,,BK02-10,,,,"Message show:""Special character are not allowed""",,,,,0|i000q7:9,,BK02 Sprint 1,,,,,,,,,Unit,,,,"1.Enter special characters
2.Wait notification",,,Done
DAF42 - Verify Delete Account Form - Account No must not be blank,BK02-30,10138,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,08/Dec/22 7:49 PM,17/Dec/22 3:08 PM,03/Jan/23 4:59 PM,09/Dec/22 8:45 PM,,0,DeleteAccountForm,Account No must not be blank,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,09/Dec/22 8:28 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20221209-132832.png;https://dolongvu.atlassian.net/secure/attachment/10066/image-20221209-132832.png,,,,,"Message notification:""Account No must not be blank""",,,,,,,,,,BK02-10,,,,"Mesage show:""Account No must not be blank""",,,,,0|i000q7:4,,BK02 Sprint 1,,,,,,,,,Unit,,,,"1.Leave the account number blank
2.Wait notification",,,Done
